UserId,productid,Quantity,OrderDate
18075,12322648,1,01/04/18
6820,12371370,1,01/04/18
6820,12973004,1,01/04/18
6820,12657560,1,01/04/18
6820,11659914,1,01/04/18
18075,12322648,1,01/04/18
26784,12658110,1,01/04/18
16920,11659532,1,01/04/18
26784,12407108,1,01/04/18
26784,11660062,1,01/04/18
26784,12407166,1,01/04/18
25510,11659666,1,01/04/18
2364,11659826,1,01/04/18
18167,12360458,1,01/04/18
2364,11659826,1,01/04/18
2364,11659826,1,01/04/18
25740,11407272,1,01/04/18
25740,12658034,1,01/04/18
26784,12658532,1,01/04/18
26784,11659704,1,01/04/18
27659,12658150,1,01/04/18
27659,12657614,1,01/04/18
16605,12658510,1,01/04/18
16605,12406986,1,01/04/18
16605,12657638,1,01/04/18
16605,12657642,1,01/04/18
16605,12657644,1,01/04/18
26784,12658532,1,01/04/18
26784,11407102,1,01/04/18
26784,11461020,1,01/04/18
4312,11360858,1,01/04/18
5349,12657592,1,01/04/18
5349,12657646,1,01/04/18
22730,12407650,1,01/04/18
16236,11659734,1,01/04/18
16236,12407624,1,01/04/18
8915,11659604,1,01/04/18
8915,11659602,1,01/04/18
23447,11659004,1,01/04/18
23447,12406882,1,01/04/18
23447,12406874,1,01/04/18
23447,11603836,1,01/04/18
23447,12360384,1,01/04/18
23447,12407276,1,01/04/18
23447,12657758,1,01/04/18
17503,12658674,1,01/04/18
17503,12657656,1,01/04/18
17503,12658096,1,01/04/18
17503,12657364,1,01/04/18
17503,12658122,1,01/04/18
17503,12657646,1,01/04/18
26784,11714670,1,01/04/18
8370,11659814,1,01/04/18
8370,12322648,1,01/04/18
26784,11481082,1,01/04/18
20546,12657596,1,01/04/18
23295,11660024,1,01/04/18
22701,11659604,1,01/04/18
22701,12407708,1,01/04/18
22701,12407770,1,01/04/18
17517,12406998,1,01/04/18
26784,12407132,1,01/04/18
26784,12407176,1,01/04/18
13456,11658998,1,01/04/18
13456,11659034,1,01/04/18
26784,12407158,1,01/04/18
26784,12657762,1,01/04/18
26784,12407010,1,01/04/18
13456,11658998,1,01/04/18
13456,11659034,1,01/04/18
26784,11460990,1,01/04/18
25665,12657646,1,01/04/18
20753,11660154,1,01/04/18
20753,11660068,1,01/04/18
20753,11660134,1,01/04/18
20753,11660226,1,01/04/18
20753,12407204,1,01/04/18
20753,12657976,1,01/04/18
20753,12658430,1,01/04/18
23295,11660024,1,01/04/18
26784,12407478,1,01/04/18
26784,12657732,1,01/04/18
13073,11659284,1,01/04/18
26784,12657756,1,01/04/18
10047,12658310,1,01/04/18
11196,12658406,1,01/04/18
11196,12658410,1,01/04/18
11196,12407832,1,01/04/18
11196,12407790,1,01/04/18
11196,12658298,1,01/04/18
11196,12360450,1,01/04/18
26784,12657758,1,01/04/18
